grupo,nombre,aporte,cantidad
A.O.A.BAJO EN GRASA,Aguja de res,Cantidad sugerida,35
A.O.A.BAJO EN GRASA,Aguja de res,Unidad,g
A.O.A.BAJO EN GRASA,Aguja de res,Peso bruto redondeado (g),35
A.O.A.BAJO EN GRASA,Aguja de res,Peso neto (g),33
A.O.A.BAJO EN GRASA,Aguja de res,Energia (Kcal),51
A.O.A.BAJO EN GRASA,Aguja de res,Proteina (g),6.8
A.O.A.BAJO EN GRASA,Aguja de res,Lípidos (g),2.6
A.O.A.BAJO EN GRASA,Aguja de res,Hidratos de carbono (g),0.0
A.O.A.BAJO EN GRASA,Aguja de res,Colesterol (mg),20.6
A.O.A.BAJO EN GRASA,Aguja de res,Vitamina A     (µg RE),77.5
A.O.A.BAJO EN GRASA,Aguja de res,Calcio (mg),3.0
A.O.A.BAJO EN GRASA,Aguja de res,Hierro (mg),0.6
A.O.A.BAJO EN GRASA,Aguja de res,Sodio (mg),20.9
A.O.A.BAJO EN GRASA,Aguja de res,Selenio (mg),6.6
A.O.A.BAJO EN GRASA,Anchoa con aceite,Cantidad sugerida,6
A.O.A.BAJO EN GRASA,Anchoa con aceite,Unidad,pieza
A.O.A.BAJO EN GRASA,Anchoa con aceite,Peso bruto redondeado (g),24
A.O.A.BAJO EN GRASA,Anchoa con aceite,Peso neto (g),24
A.O.A.BAJO EN GRASA,Anchoa con aceite,Energia (Kcal),50
A.O.A.BAJO EN GRASA,Anchoa con aceite,Proteina (g),7.0
A.O.A.BAJO EN GRASA,Anchoa con aceite,Lípidos (g),2.6
A.O.A.BAJO EN GRASA,Anchoa con aceite,Hidratos de carbono (g),0.0
A.O.A.BAJO EN GRASA,Anchoa con aceite,Colesterol (mg),20.4
A.O.A.BAJO EN GRASA,Anchoa con aceite,Vitamina A     (µg RE),2.9
A.O.A.BAJO EN GRASA,Anchoa con aceite,Calcio (mg),55.7
A.O.A.BAJO EN GRASA,Anchoa con aceite,Hierro (mg),1.1
A.O.A.BAJO EN GRASA,Anchoa con aceite,Sodio (mg),880.3
A.O.A.BAJO EN GRASA,Anchoa con aceite,Selenio (mg),16.3
A.O.A.BAJO EN GRASA,Arenque cocido,Cantidad sugerida,25
A.O.A.BAJO EN GRASA,Arenque cocido,Unidad,g
A.O.A.BAJO EN GRASA,Arenque cocido,Peso bruto redondeado (g),25
A.O.A.BAJO EN GRASA,Arenque cocido,Peso neto (g),25
A.O.A.BAJO EN GRASA,Arenque cocido,Energia (Kcal),51
A.O.A.BAJO EN GRASA,Arenque cocido,Proteina (g),5.8
A.O.A.BAJO EN GRASA,Arenque cocido,Lípidos (g),2.9
A.O.A.BAJO EN GRASA,Arenque cocido,Hidratos de carbono (g),0.0
A.O.A.BAJO EN GRASA,Arenque cocido,Colesterol (mg),19.3
A.O.A.BAJO EN GRASA,Arenque cocido,Vitamina A     (µg RE),9.0
A.O.A.BAJO EN GRASA,Arenque cocido,Calcio (mg),18.5
A.O.A.BAJO EN GRASA,Arenque cocido,Hierro (mg),0.4
A.O.A.BAJO EN GRASA,Arenque cocido,Sodio (mg),28.8
A.O.A.BAJO EN GRASA,Arenque cocido,Selenio (mg),11.7
A.O.A.BAJO EN GRASA,Arenque fresco crudo,Cantidad sugerida,35
A.O.A.BAJO EN GRASA,Arenque fresco crudo,Unidad,g
A.O.A.BAJO EN GRASA,Arenque fresco crudo,Peso bruto redondeado (g),35
A.O.A.BAJO EN GRASA,Arenque fresco crudo,Peso neto (g),35
A.O.A.BAJO EN GRASA,Arenque fresco crudo,Energia (Kcal),55
A.O.A.BAJO EN GRASA,Arenque fresco crudo,Proteina (g),6.3
A.O.A.BAJO EN GRASA,Arenque fresco crudo,Lípidos (g),3.2
A.O.A.BAJO EN GRASA,Arenque fresco crudo,Hidratos de carbono (g),0.0
A.O.A.BAJO EN GRASA,Arenque fresco crudo,Colesterol (mg),21.0
A.O.A.BAJO EN GRASA,Arenque fresco crudo,Vitamina A     (µg RE),9.8
A.O.A.BAJO EN GRASA,Arenque fresco crudo,Calcio (mg),20.0
A.O.A.BAJO EN GRASA,Arenque fresco crudo,Hierro (mg),0.4
A.O.A.BAJO EN GRASA,Arenque fresco crudo,Sodio (mg),31.5
A.O.A.BAJO EN GRASA,Arenque fresco crudo,Selenio (mg),12.8
A.O.A.BAJO EN GRASA,Arrachera cruda,Cantidad sugerida,35
A.O.A.BAJO EN GRASA,Arrachera cruda,Unidad,g
A.O.A.BAJO EN GRASA,Arrachera cruda,Peso bruto redondeado (g),35
A.O.A.BAJO EN GRASA,Arrachera cruda,Peso neto (g),35
A.O.A.BAJO EN GRASA,Arrachera cruda,Energia (Kcal),49
A.O.A.BAJO EN GRASA,Arrachera cruda,Proteina (g),7.5
A.O.A.BAJO EN GRASA,Arrachera cruda,Lípidos (g),1.9
A.O.A.BAJO EN GRASA,Arrachera cruda,Hidratos de carbono (g),0.0
A.O.A.BAJO EN GRASA,Arrachera cruda,Colesterol (mg),11.6
A.O.A.BAJO EN GRASA,Arrachera cruda,Vitamina A     (µg RE),0.0
A.O.A.BAJO EN GRASA,Arrachera cruda,Calcio (mg),8.4
A.O.A.BAJO EN GRASA,Arrachera cruda,Hierro (mg),0.5
A.O.A.BAJO EN GRASA,Arrachera cruda,Sodio (mg),19.3
A.O.A.BAJO EN GRASA,Arrachera cruda,Selenio (mg),9.2
A.O.A.BAJO EN GRASA,Arrachera de res cruda,Cantidad sugerida,30
A.O.A.BAJO EN GRASA,Arrachera de res cruda,Unidad,g
A.O.A.BAJO EN GRASA,Arrachera de res cruda,Peso bruto redondeado (g),30
A.O.A.BAJO EN GRASA,Arrachera de res cruda,Peso neto (g),30
A.O.A.BAJO EN GRASA,Arrachera de res cruda,Energia (Kcal),56
A.O.A.BAJO EN GRASA,Arrachera de res cruda,Proteina (g),8.4
A.O.A.BAJO EN GRASA,Arrachera de res cruda,Lípidos (g),2.2
A.O.A.BAJO EN GRASA,Arrachera de res cruda,Hidratos de carbono (g),0.0
A.O.A.BAJO EN GRASA,Arrachera de res cruda,Colesterol (mg),14.7
A.O.A.BAJO EN GRASA,Arrachera de res cruda,Vitamina A     (µg RE),0.0
A.O.A.BAJO EN GRASA,Arrachera de res cruda,Calcio (mg),5.4
A.O.A.BAJO EN GRASA,Arrachera de res cruda,Hierro (mg),0.5
A.O.A.BAJO EN GRASA,Arrachera de res cruda,Sodio (mg),17.1
A.O.A.BAJO EN GRASA,Arrachera de res cruda,Selenio (mg),9.6
A.O.A.BAJO EN GRASA,Atún blanco en aceite,Cantidad sugerida,30
A.O.A.BAJO EN GRASA,Atún blanco en aceite,Unidad,g
A.O.A.BAJO EN GRASA,Atún blanco en aceite,Peso bruto redondeado (g),30
A.O.A.BAJO EN GRASA,Atún blanco en aceite,Peso neto (g),30
A.O.A.BAJO EN GRASA,Atún blanco en aceite,Energia (Kcal),56
A.O.A.BAJO EN GRASA,Atún blanco en aceite,Proteina (g),8.0
A.O.A.BAJO EN GRASA,Atún blanco en aceite,Lípidos (g),2.4
A.O.A.BAJO EN GRASA,Atún blanco en aceite,Hidratos de carbono (g),0.0
A.O.A.BAJO EN GRASA,Atún blanco en aceite,Colesterol (mg),7.0
A.O.A.BAJO EN GRASA,Atún blanco en aceite,Vitamina A     (µg RE),1.2
A.O.A.BAJO EN GRASA,Atún blanco en aceite,Calcio (mg),0.8
A.O.A.BAJO EN GRASA,Atún blanco en aceite,Hierro (mg),0.1
A.O.A.BAJO EN GRASA,Atún blanco en aceite,Sodio (mg),91.2
A.O.A.BAJO EN GRASA,Atún blanco en aceite,Selenio (mg),18.0
A.O.A.BAJO EN GRASA,Atún en aceite drenado,Cantidad sugerida,1/3
A.O.A.BAJO EN GRASA,Atún en aceite drenado,Unidad,lata
A.O.A.BAJO EN GRASA,Atún en aceite drenado,Peso bruto redondeado (g),33
A.O.A.BAJO EN GRASA,Atún en aceite drenado,Peso neto (g),33
A.O.A.BAJO EN GRASA,Atún en aceite drenado,Energia (Kcal),66
A.O.A.BAJO EN GRASA,Atún en aceite drenado,Proteina (g),9.7
A.O.A.BAJO EN GRASA,Atún en aceite drenado,Lípidos (g),2.7
A.O.A.BAJO EN GRASA,Atún en aceite drenado,Hidratos de carbono (g),0.0
A.O.A.BAJO EN GRASA,Atún en aceite drenado,Colesterol (mg),10.3
A.O.A.BAJO EN GRASA,Atún en aceite drenado,Vitamina A     (µg RE),7.7
A.O.A.BAJO EN GRASA,Atún en aceite drenado,Calcio (mg),4.3
A.O.A.BAJO EN GRASA,Atún en aceite drenado,Hierro (mg),0.5
A.O.A.BAJO EN GRASA,Atún en aceite drenado,Sodio (mg),118.0
A.O.A.BAJO EN GRASA,Atún en aceite drenado,Selenio (mg),25.3
A.O.A.BAJO EN GRASA,Barbacoa,Cantidad sugerida,50
A.O.A.BAJO EN GRASA,Barbacoa,Unidad,g
A.O.A.BAJO EN GRASA,Barbacoa,Peso bruto redondeado (g),50
A.O.A.BAJO EN GRASA,Barbacoa,Peso neto (g),40
A.O.A.BAJO EN GRASA,Barbacoa,Energia (Kcal),54
A.O.A.BAJO EN GRASA,Barbacoa,Proteina (g),7.6
A.O.A.BAJO EN GRASA,Barbacoa,Lípidos (g),2.4
A.O.A.BAJO EN GRASA,Barbacoa,Hidratos de carbono (g),0.0
A.O.A.BAJO EN GRASA,Barbacoa,Colesterol (mg),26.0
A.O.A.BAJO EN GRASA,Barbacoa,Vitamina A     (µg RE),0.0
A.O.A.BAJO EN GRASA,Barbacoa,Calcio (mg),2.8
A.O.A.BAJO EN GRASA,Barbacoa,Hierro (mg),0.9
A.O.A.BAJO EN GRASA,Barbacoa,Sodio (mg),30.0
A.O.A.BAJO EN GRASA,Barbacoa,Selenio (mg),15.2
A.O.A.BAJO EN GRASA,Barbacoa con hueso,Cantidad sugerida,65
A.O.A.BAJO EN GRASA,Barbacoa con hueso,Unidad,g
A.O.A.BAJO EN GRASA,Barbacoa con hueso,Peso bruto redondeado (g),65
A.O.A.BAJO EN GRASA,Barbacoa con hueso,Peso neto (g),38
A.O.A.BAJO EN GRASA,Barbacoa con hueso,Energia (Kcal),51
A.O.A.BAJO EN GRASA,Barbacoa con hueso,Proteina (g),7.2
A.O.A.BAJO EN GRASA,Barbacoa con hueso,Lípidos (g),2.3
A.O.A.BAJO EN GRASA,Barbacoa con hueso,Hidratos de carbono (g),0.0
A.O.A.BAJO EN GRASA,Barbacoa con hueso,Colesterol (mg),24.5
A.O.A.BAJO EN GRASA,Barbacoa con hueso,Vitamina A     (µg RE),0.0
A.O.A.BAJO EN GRASA,Barbacoa con hueso,Calcio (mg),2.6
A.O.A.BAJO EN GRASA,Barbacoa con hueso,Hierro (mg),0.8
A.O.A.BAJO EN GRASA,Barbacoa con hueso,Sodio (mg),28.3
A.O.A.BAJO EN GRASA,Barbacoa con hueso,Selenio (mg),14.3
A.O.A.BAJO EN GRASA,Bistec de ternera,Cantidad sugerida,35
A.O.A.BAJO EN GRASA,Bistec de ternera,Unidad,g
A.O.A.BAJO EN GRASA,Bistec de ternera,Peso bruto redondeado (g),35
A.O.A.BAJO EN GRASA,Bistec de ternera,Peso neto (g),35
A.O.A.BAJO EN GRASA,Bistec de ternera,Energia (Kcal),55
