id,equivalente_id,concepto_id,valor
1,84,1,35
2,84,2,g
3,84,3,35
4,84,4,33
5,84,5,51
6,84,6,6.8
7,84,7,2.6
8,84,8,0
9,84,9,20.6
10,84,10,77.5
11,84,11,3
12,84,12,0.6
13,84,13,20.9
14,84,14,6.6
15,138,1,6
16,138,2,pieza
17,138,3,24
18,138,4,24
19,138,5,50
20,138,6,7
21,138,7,2.6
22,138,8,0
23,138,9,20.4
24,138,10,2.9
25,138,11,55.7
26,138,12,1.1
27,138,13,880.3
28,138,14,16.3
29,150,1,25
30,150,2,g
31,150,3,25
32,150,4,25
33,150,5,51
34,150,6,5.8
35,150,7,2.9
36,150,8,0
37,150,9,19.3
38,150,10,9
39,150,11,18.5
40,150,12,0.4
41,150,13,28.8
42,150,14,11.7
43,151,1,35
44,151,2,g
45,151,3,35
46,151,4,35
47,151,5,55
48,151,6,6.3
49,151,7,3.2
50,151,8,0
51,151,9,21
52,151,10,9.8
53,151,11,20
54,151,12,0.4
55,151,13,31.5
56,151,14,12.8
57,154,1,35
58,154,2,g
59,154,3,35
60,154,4,35
61,154,5,49
62,154,6,7.5
63,154,7,1.9
64,154,8,0
65,154,9,11.6
66,154,10,0
67,154,11,8.4
68,154,12,0.5
69,154,13,19.3
70,154,14,9.2
71,156,1,30
72,156,2,g
73,156,3,30
74,156,4,30
75,156,5,56
76,156,6,8.4
77,156,7,2.2
78,156,8,0
79,156,9,14.7
80,156,10,0
81,156,11,5.4
82,156,12,0.5
83,156,13,17.1
84,156,14,9.6
85,177,1,30
86,177,2,g
87,177,3,30
88,177,4,30
89,177,5,56
90,177,6,8
91,177,7,2.4
92,177,8,0
93,177,9,7
94,177,10,1.2
95,177,11,0.8
96,177,12,0.1
97,177,13,91.2
98,177,14,18
99,179,1,0.3333
100,179,2,lata
101,179,3,33
102,179,4,33
103,179,5,66
104,179,6,9.7
105,179,7,2.7
106,179,8,0
107,179,9,10.3
108,179,10,7.7
109,179,11,4.3
110,179,12,0.5
111,179,13,118
112,179,14,25.3
113,220,1,50
114,220,2,g
115,220,3,50
116,220,4,40
117,220,5,54
118,220,6,7.6
119,220,7,2.4
120,220,8,0
121,220,9,26
122,220,10,0
123,220,11,2.8
124,220,12,0.9
125,220,13,30
126,220,14,15.2
127,221,1,65
128,221,2,g
129,221,3,65
130,221,4,38
131,221,5,51
132,221,6,7.2
133,221,7,2.3
134,221,8,0
135,221,9,24.5
136,221,10,0
137,221,11,2.6
138,221,12,0.8
139,221,13,28.3
140,221,14,14.3
141,258,1,35
142,258,2,g
143,258,3,35
144,258,4,35
145,258,5,55
146,258,6,6.9
147,258,7,2.8
148,258,8,0
149,258,9,31.5
150,258,10,0
151,258,11,3.9
152,258,12,1.1
153,258,13,31.5
154,258,14,5.5
155,272,1,60
156,272,2,g
157,272,3,60
158,272,4,31
159,272,5,51
160,272,6,7.3
161,272,7,2.2
162,272,8,0
163,272,9,0
164,272,10,0
165,272,11,8
166,272,12,0.2
167,272,13,12.2
168,272,14,4.3
169,273,1,25
170,273,2,g
171,273,3,25
172,273,4,25
173,273,5,55
174,273,6,7.3
175,273,7,2.9
176,273,8,0
177,273,9,11.7
178,273,10,0
179,273,11,7.2
180,273,12,0.3
181,273,13,0
182,273,14,4
183,274,1,30
184,274,2,g
185,274,3,30
186,274,4,30
187,274,5,50
188,274,6,7.2
189,274,7,2.2
190,274,8,0
191,274,9,0
192,274,10,0
193,274,11,7.8
194,274,12,0.2
195,274,13,12
196,274,14,4.2
197,290,1,495
198,290,2,g
199,290,3,495
200,290,4,50
201,290,5,55
202,290,6,7
203,290,7,2.8
204,290,8,0
205,290,9,32.2
206,290,10,0
207,290,11,8.4
208,290,12,1
209,290,13,37.1
210,290,14,18.8
211,291,1,495
212,291,2,g
213,291,3,495
214,291,4,50
215,291,5,55
216,291,6,7
217,291,7,2.8
218,291,8,0
219,291,9,32.2
220,291,10,0
221,291,11,8.4
222,291,12,1
223,291,13,37.1
224,291,14,14.1
225,340,1,35
226,340,2,g
227,340,3,35
228,340,4,35
229,340,5,61
230,340,6,6.3
231,340,7,2.6
232,340,8,2.7
233,340,9,91
234,340,10,3.7
235,340,11,13.6
236,340,12,0.4
237,340,13,107.1
238,340,14,15.7
239,391,1,40
240,391,2,g
241,391,3,40
242,391,4,40
243,391,5,56
244,391,6,7.9
245,391,7,2.5
246,391,8,0
247,391,9,26
248,391,10,0.4
249,391,11,2.4
250,391,12,0.5
251,391,13,32.8
252,391,14,13.2
253,392,1,40
254,392,2,g
255,392,3,40
256,392,4,40
257,392,5,56
258,392,6,7.9
259,392,7,2.5
260,392,8,0
261,392,9,26
262,392,10,0.4
263,392,11,2.4
264,392,12,0.5
265,392,13,32.8
266,392,14,11.4
267,394,1,40
268,394,2,g
269,394,3,40
270,394,4,32
271,394,5,52
272,394,6,7.4
273,394,7,2.3
274,394,8,0
275,394,9,27.2
276,394,10,3.9
277,394,11,4.2
278,394,12,0.8
279,394,13,28.2
280,394,14,5.4
281,396,1,60
282,396,2,g
283,396,3,60
284,396,4,39
285,396,5,51
286,396,6,7.1
287,396,7,2.3
288,396,8,0
289,396,9,30
290,396,10,9.4
291,396,11,4.3
292,396,12,0.9
293,396,13,28.9
294,396,14,5.4
295,397,1,30
296,397,2,g
297,397,3,30
298,397,4,30
299,397,5,54
300,397,6,6.2
301,397,7,3
302,397,8,0
303,397,9,19.5
304,397,10,1.8
305,397,11,3.6
306,397,12,0.9
307,397,13,19.5
308,397,14,5.9
309,401,1,35
310,401,2,g
311,401,3,35
312,401,4,35
313,401,5,55
314,401,6,6.9
315,401,7,2.8
316,401,8,0
317,401,9,31.5
318,401,10,0
319,401,11,3.9
320,401,12,1.1
321,401,13,31.5
322,401,14,5.5
323,404,1,40
324,404,2,g
325,404,3,40
326,404,4,40
327,404,5,56
328,404,6,7.9
329,404,7,2.5
330,404,8,0
331,404,9,26
332,404,10,0.4
333,404,11,2.4
334,404,12,0.5
335,404,13,32.8
336,404,14,9.8
337,414,1,30
338,414,2,g
339,414,3,30
340,414,4,29
341,414,5,51
342,414,6,5.9
343,414,7,2.9
344,414,8,0
345,414,9,18.5
346,414,10,1.7
347,414,11,3.4
348,414,12,0.9
349,414,13,18.5
350,414,14,5.7
351,415,1,50
352,415,2,g
353,415,3,50
354,415,4,40
355,415,5,54
356,415,6,7.6
357,415,7,2.4
358,415,8,0
359,415,9,26
360,415,10,0
361,415,11,2.8
362,415,12,0.9
363,415,13,30
364,415,14,15.2
365,416,1,65
366,416,2,g
367,416,3,65
368,416,4,38
369,416,5,51
370,416,6,7.2
371,416,7,2.3
372,416,8,0
373,416,9,24.5
374,416,10,0
375,416,11,2.6
376,416,12,0.8
377,416,13,28.3
378,416,14,14.3
379,417,1,75
380,417,2,g
381,417,3,75
382,417,4,41
383,417,5,51
384,417,6,7.2
385,417,7,2.3
386,417,8,0
387,417,9,26.7
388,417,10,3.8
389,417,11,16.7
390,417,12,0.5
391,417,13,20
392,417,14,5.7
393,418,1,30
394,418,2,g
395,418,3,30
396,418,4,30
397,418,5,49
398,418,6,6.8
399,418,7,2.2
400,418,8,0
401,418,9,25.1
402,418,10,2.8
403,418,11,15.5
404,418,12,0.5
405,418,13,19.1
406,418,14,5.4
407,419,1,30
408,419,2,g
409,419,3,30
410,419,4,30
411,419,5,49
412,419,6,6.8
413,419,7,2.2
414,419,8,0
415,419,9,25.1
416,419,10,2.8
417,419,11,15.5
418,419,12,0.5
419,419,13,19.1
420,419,14,5.4
421,96,1,0.5
422,570,2,pieza
423,570,3,45
424,570,4,38
425,570,5,54
426,570,6,7.6
427,570,7,2.4
428,570,8,0
429,570,9,24.9
430,570,10,0.4
431,570,11,2.3
432,570,12,0.5
433,570,13,31.4
434,570,14,12.2
435,626,1,40
436,626,2,g
437,626,3,40
438,626,4,32
439,626,5,51
440,626,6,6.5
441,626,7,2.6
