GRUPO,ALIMENTOS,Cantidad sugerida,Unidad,Peso bruto redondeado (g),Peso neto (g),Energia (Kcal),Proteina (g),Lípidos (g),Hidratos de carbono (g),Colesterol (mg),Vitamina A     (µg RE),Calcio (mg),Hierro (mg),Sodio (mg),Selenio (µg)
A.O.A.ALTO EN GRASA,Alón de pollo con piel cocido,1,pieza,98,51,117,11.6,8.6,0.0,35.7,20.4,6.1,0.6,34.1,9.4
A.O.A.ALTO EN GRASA,Alón de pollo con piel crudo,1,pieza,95,51,114,9.4,8.2,0.0,39.5,22.6,6.2,0.5,37.4,8.0
A.O.A.ALTO EN GRASA,Añejo tipo cotija,2,cucharada,24,24,70,6.8,8.0,0.3,20.4,156.0,206.4,0.6,0.0,1.0
A.O.A.ALTO EN GRASA,Carne de res semigrasossa,40,g,40,38,98,7.0,7.5,0.0,26.2,3.4,2.7,0.8,22.4,1.4
A.O.A.ALTO EN GRASA,Carne molida popular de res,40,g,40,33,97,5.2,8.3,0.0,24.3,3.9,2.6,0.6,19.4,0.7
A.O.A.ALTO EN GRASA, Carne molida regular,40,g,40,40,107,7.2,8.5,0.0,29.6,4.8,4.0,1.1,26.0,0.9
A.O.A.ALTO EN GRASA,Carne molida regular cocida,35,g,35,35,100,8.1,7.3,0.0,30.5,0.0,3.5,0.8,21.0,1.0
A.O.A.ALTO EN GRASA,Carne obscura de pollo con piel,40,g,40,40,95,6.7,7.3,0.0,32.4,19.6,4.4,0.4,29.2,1.9
A.O.A.ALTO EN GRASA,Cecina de res,50,g,50,50,98,7.3,7.4,0.0,42.6,0.0,3.5,0.8,602.4,1.4
A.O.A.ALTO EN GRASA,Cerdo en canal,40,g,40,58,111,3.8,10.6,0.0,20.7,0.6,1.4,0.2,123.0,1.1
A.O.A.ALTO EN GRASA,Cheez whiz,2,cucharada,33,33,91,4.0,6.9,3.0,24.8,ND,118.5,0.1,540.5,ND
A.O.A.ALTO EN GRASA,Chuleta de carnero,40,g,40,36,105,5.6,9.0,0.0,25.6,0.0,1.8,0.8,27.0,2.1
A.O.A.ALTO EN GRASA,Chuleta de cordero entera,1/3,pieza,82,45,94,8.3,6.5,0.0,29.9,ND,5.0,0.8,26.8,0.6
A.O.A.ALTO EN GRASA,Cordero,50,g,46,37,104,6.1,8.6,0.0,26.9,0.0,5.9,0.6,21.7,1.2
A.O.A.ALTO EN GRASA,Costilla de carnero,45,g,45,36,105,5.6,9.0,0.0,25.6,0.0,1.8,0.8,27.0,2.1
A.O.A.ALTO EN GRASA,Costilla de res,40,g,40,29,112,4.5,10.3,0.0,21.6,0.0,2.3,0.5,15.2,0.7
A.O.A.ALTO EN GRASA,Espaldilla,45,g,45,36,99,5.8,8.2,0.0,25.9,0.7,1.8,0.4,22.7,1.1
A.O.A.ALTO EN GRASA,Espaldilla de cerdo,45,g,45,36,99,5.8,8.2,0.0,25.9,0.7,1.8,0.4,22.7,1.1
A.O.A.ALTO EN GRASA,Espinazo,45,g,45,36,99,5.8,8.2,0.0,25.9,0.7,1.8,0.4,22.7,1.1
A.O.A.ALTO EN GRASA,Espinazo de cerdo,45,g,45,36,99,5.8,8.2,0.0,25.9,0.7,1.8,0.4,22.7,1.1
A.O.A.ALTO EN GRASA,Fondue de queso,3 1/2,cucharada,46,46,104,6.5,6.1,1.7,20.6,ND,216.5,0.2,60.2,0.6
A.O.A.ALTO EN GRASA,Huevo de gansa,1/2,pieza,72,63,116,8.7,8.3,0.8,533.7,115.9,37.8,2.3,86.6,3.2
A.O.A.ALTO EN GRASA,Huevo de pato ,1,pieza,70,62,114,7.9,8.5,0.9,544.7,118.3,39.6,2.4,89.8,2.9
A.O.A.ALTO EN GRASA,Huevo de pavo,1,pieza,79,70,119,9.5,8.3,0.8,648.6,115.4,68.6,2.9,105.0,23.8
A.O.A.ALTO EN GRASA,Huevo estrellado,1,pieza,46,46,90,6.3,7.0,0.4,210.2,88.8,27.1,0.9,93.8,2.1
A.O.A.ALTO EN GRASA,Huevo frito,1,pieza,46,46,90,6.3,7.0,0.4,210.2,88.8,27.1,0.9,93.8,2.1
A.O.A.ALTO EN GRASA,Huevo revuelto,60,g,60,60,100,6.7,7.3,1.3,211.5,84.0,42.6,0.7,168.0,1.5
A.O.A.ALTO EN GRASA,Jamón ahumado,1 1/2,rebanada delgada,32,32,95,4.9,8.2,0.2,28.0,0.0,3.0,0.4,382.5,0.8
A.O.A.ALTO EN GRASA,Jamón americano,1 1/2,rebanada delgada,32,32,95,4.9,8.2,0.2,28.0,0.0,3.2,0.4,391.2,0.8
A.O.A.ALTO EN GRASA,Jamón bajo en sodio,1 1/2,rebanada delgada,27,27,82,4.2,7.0,0.2,24.0,0.0,1.7,0.4,225.4,0.7
A.O.A.ALTO EN GRASA,Jamón cocido,1 1/2,rebanada delgada,32,32,95,4.9,8.2,0.2,28.0,0.0,3.0,0.5,424.5,0.8
A.O.A.ALTO EN GRASA,Jamón del diablo,3 1/2,cucharada,40,40,100,6.2,8.6,0.0,28.6,0.0,0.0,0.3,333.3,2.7
A.O.A.ALTO EN GRASA,Jamón horneado ,1 1/2,rebanada delgada,32,32,95,4.9,8.2,0.2,28.0,0.0,3.2,0.4,391.2,0.8
A.O.A.ALTO EN GRASA,Jamón virginia,1 1/2,rebanada delgada,32,32,95,4.9,8.2,0.2,28.0,0.0,3.0,0.5,424.5,0.8
A.O.A.ALTO EN GRASA,Jumiles,20,g,20,20,89,6.4,6.8,0.0,0.0,0.0,15.6,2.0,0.0,0.0
A.O.A.ALTO EN GRASA,Lengua de cerdo cocida,30,g,30,30,81,7.2,5.6,0.0,43.8,0.0,5.7,1.5,32.7,4.7
A.O.A.ALTO EN GRASA,Lengua de res cocida,45,g,45,35,100,6.8,7.8,0.0,46.3,0.0,1.8,0.9,22.8,0.9
A.O.A.ALTO EN GRASA,Maciza de cedo,35,g,35,35,92,5.9,7.4,0.0,25.2,0.7,4.9,0.3,19.6,1.5
A.O.A.ALTO EN GRASA,Maciza de puerco,35,g,35,35,9,5.9,7.4,0.0,25.2,0.7,4.9,0.3,19.6,1.5
A.O.A.ALTO EN GRASA,Molida de carnero,40,g,40,38,96,6.9,7.4,0.0,27.0,0.0,2.7,1.0,30.4,2.6
A.O.A.ALTO EN GRASA,Molida popular de res,40,g,40,33,97,5.2,8.3,0.0,24.3,3.9,2.6,0.6,19.4,1.0
A.O.A.ALTO EN GRASA,Morcilla,1,rebanada delgada,25,25,95,3.7,8.6,0.3,30.0,0.0,1.5,1.6,170.0,0.6
A.O.A.ALTO EN GRASA,Morcilla de arroz,1,rebanada gruesa,25,25,95,3.7,8.6,0.3,30.0,0.0,1.5,1.6,170.0,0.6
A.O.A.ALTO EN GRASA,Moronga,1,rebanada gruesa,25,25,95,3.7,8.6,0.3,30.0,0.0,1.5,1.6,170.0,0.6
A.O.A.ALTO EN GRASA,Mortadela,1 1/2,rebanada ,32,32,99,5.3,8.0,1.1,18.3,0.0,6.3,0.4,392.7,0.0
