GRUPO,ALIMENTOS,Cantidad sugerida,Unidad,Peso bruto redondeado (g),Peso neto (g),Energia (Kcal),Proteina (g),Lípidos (g),Hidratos de carbono (g),Sodio (mg)
ALIMENTOS LIBRES EN ENERGIA,Achiote                                                                                                                        ,1/4,cucharada,4,4,10,0.5,0.1,2.1,0.0
ALIMENTOS LIBRES EN ENERGIA,Agua,1,taza,240,240,2,0.0,0.0,0.0,7.1
ALIMENTOS LIBRES EN ENERGIA,Agua mineral,1,lata,355,355,4,0.0,0.0,0.0,74.6
ALIMENTOS LIBRES EN ENERGIA,Ajo en polvo,1/2,cucharadita,2,2,5,0.3,0.0,1.1,0.5
ALIMENTOS LIBRES EN ENERGIA,Albahaca deshidratada,1 1/2,cucharadita,2,2,5,0.2,0.0,0.9,0.0
ALIMENTOS LIBRES EN ENERGIA,Albahaca molida,1 1/2,cucharadita,2,2,5,0.2,0.0,0.9,0.0
ALIMENTOS LIBRES EN ENERGIA,Alcaparras,2,cucharada,17,17,4,0.4,0.1,0.8,509.8
ALIMENTOS LIBRES EN ENERGIA,Alcaravea,1/2,cucharadita,1,1,4,0.2,0.2,0.5,0.0
ALIMENTOS LIBRES EN ENERGIA,Anís,1/2,cucharadita,1,1,4,0.2,0.2,0.5,0.0
ALIMENTOS LIBRES EN ENERGIA,Arúgula,1,taza,20,12,3,0.3,0.1,0.4,3.2
ALIMENTOS LIBRES EN ENERGIA,Aspartame,1,sobre,1,1,0,0.0,0.0,0.0,0.0
ALIMENTOS LIBRES EN ENERGIA,Azafrán,1,cucharadita,1,1,3,0.1,0.1,0.7,1.0
ALIMENTOS LIBRES EN ENERGIA,Café americano,1,taza,240,240,5,0.3,0.0,0.9,5.4
ALIMENTOS LIBRES EN ENERGIA,Café con azúcar,1,taza,240,240,5,0.3,0.0,8.2,5.4
ALIMENTOS LIBRES EN ENERGIA,Café de grano,7,cucharada,56,56,4,11.2,0.0,0.0,0.0
ALIMENTOS LIBRES EN ENERGIA,Café descafeinado,1,taza,240,240,5,0.3,0.0,0.9,5.4
ALIMENTOS LIBRES EN ENERGIA,Café descafeinado preparado,1,taza,240,240,5,0.3,0.0,0.9,5.4
ALIMENTOS LIBRES EN ENERGIA,Café en polvo,1/2,cucharada,1,1,4,0.1,0.0,0.9,0.8
ALIMENTOS LIBRES EN ENERGIA,Café de polvo descafeinado,1,cucharadita,2,2,4,0.2,0.0,0.7,1.0
ALIMENTOS LIBRES EN ENERGIA,Café en polvo sabor moka,2,cucharadita,4,4,8,0.4,0.0,1.4,2.0
ALIMENTOS LIBRES EN ENERGIA,Café express,5 1 /2,taza,440,440,10,0.5,0.0,1.7,9.9
ALIMENTOS LIBRES EN ENERGIA,Café instantáneo,1,cucharadita,2,2,4,0.2,0.0,0.7,1.0
ALIMENTOS LIBRES EN ENERGIA,Café intantánio preparado,1,taza,240,240,5,0.3,0.0,0.9,6.7
ALIMENTOS LIBRES EN ENERGIA,Café instantáneo! descafeinado,1,cucharadita,2,2,4,0.2,0.0,0.8,0.0
ALIMENTOS LIBRES EN ENERGIA,Café molido,1,cucharada,4,4,1,0.8,0.0,0.0,0.0
ALIMENTOS LIBRES EN ENERGIA,Café ó té sin azúcar,1,taza,240,240,3,0.0,0.0,0.5,2.7
ALIMENTOS LIBRES EN ENERGIA,Café sin azúcar,1,taza,240,240,5,0.3,0,0.9,5.4
ALIMENTOS LIBRES EN ENERGIA,Caldo,1/2,taza,120,120,9,1.4,0.3,0.1,391.0
ALIMENTOS LIBRES EN ENERGIA,Caldo de carne,1/2,taza,120,120,9,1.4,0.3,0.1,391.0
ALIMENTOS LIBRES EN ENERGIA,Caldo de carne concentrado,1/4,taza,62,62,8,1.5,0.0,0.5,450.0
ALIMENTOS LIBRES EN ENERGIA,Caldo de pescado,1/2,taza,120,120,9,1.4,0.3,0.1,391.0
ALIMENTOS LIBRES EN ENERGIA,Caldo de pollo,1/2,taza,120,120,9,1.3,0.4,0.4,381.6
ALIMENTOS LIBRES EN ENERGIA,Caldo de pollo concentrado,1/5,taza,50,50,12,0.8,0.8,0.8,308.0
ALIMENTOS LIBRES EN ENERGIA,Caldo de pollo enlatado,1/5,taza,50,50,12,0.8,0.8,0.8,308.0
ALIMENTOS LIBRES EN ENERGIA,Caldo de res,1/2,taza,120,120,9,1.4,0.3,0.1,391.0
