GRUPO,ALIMENTOS,Cantidad sugerida,Unidad,Peso bruto redondeado (g),Peso neto (g),Energia (Kcal),Proteina (g),Lípidos (g),Hidratos de carbono (g),Sodio (mg),Azúcares por equivalente (g),Indica glicémico (g),Carga glicémica
AZUCARES SIN GRASA,Aderezos para ensalada bajos en calorías y grasa,1/3,taza,85,85,40,0.0,0.0,8.0,1066.6,8.0,ND,ND
AZUCARES SIN GRASA,Agua quina,1/3,lata,117,117,42,0.0,0.0,11.1,16.3,11.1,ND,ND
AZUCARES SIN GRASA,Ate,13,g,13,13,41,0.4,0.1,9.8,0.0,9.2,51.0,5.0
AZUCARES SIN GRASA,Ate de guayaba,13,g,13,13,41,0.4,0.1,9.8,0.0,9.2,51.0,5.0
AZUCARES SIN GRASA,Ate de membrillo,13,g,13,13,41,0.4,0.1,9.8,0.0,9.2,51.0,5.0
AZUCARES SIN GRASA,Azúcar blanca,2,cucharadita,8,8,33,0.0,0.0,8.4,0.0,8.4,68.0,5.7
AZUCARES SIN GRASA,Azúcar de mesa,2,cucharadita,8,8,33,0.0,0.0,8.4,0.0,8.4,68.0,5.7
AZUCARES SIN GRASA,Azúcar glass,4,cucharadita,10,10,39,0.0,0.0,10.0,0.1,9.8,68.0,6.8
AZUCARES SIN GRASA,Azúcar granulada,2,cucharadita,8,8,33,0.0,0.0,8.4,0.0,8.4,68.0,5.7
AZUCARES SIN GRASA,Azúcar mascabado,2,cucharadita,10,10,36,0.0,0.0,9.1,3.0,9.1,68.0,6.2
AZUCARES SIN GRASA,Azúcar morena,3,cucharadita,9,9,34,0.0,0.0,8.8,2.5,8.7,68.0,6.0
AZUCARES SIN GRASA,Bebida láctea fermentada,21,pieza,80,80,50,0.9,0.2,11.7,0.0,11.4,46.0,5.4
AZUCARES SIN GRASA,Bebida para deportistas,1/4,bote sport,152,152,40,0.0,0.0,9.8,59.4,8.0,78.0,7.6
AZUCARES SIN GRASA,Bebida para deportistas en polvo,2,cucharadita,10,10,36,0.0,0.0,9.5,60.3,9.0,78.0,7.4
AZUCARES SIN GRASA,Boost *,1/3,lata,78,78,33,0.3,0.0,7.9,0.6,7.9,ND,ND
AZUCARES SIN GRASA,Bubbaloo xtreme,1/2,pieza,8,8,33,0.1,0.0,8.1,0.2,5.7,ND,ND
AZUCARES SIN GRASA,Bubulubu,1/3,pieza,12,12,46,0.1,0.9,9.2,38.5,6.6,ND,ND
AZUCARES SIN GRASA,Burn *,1/5,lata,62,62,36,0.2,0.0,9.0,28.0,9.0,ND,ND
AZUCARES SIN GRASA,Café capuchino helado,1/3,taza,80,80,43,0.7,0.8,8.0,40.0,7.0,ND,ND
