GRUPO,ALIMENTOS,Cantidad sugerida,Unidad,Peso bruto redondeado (g),Peso neto (g),Energia (Kcal),Proteina (g),Lípidos (g),Hidratos de carbono (g),Fibra (g),Acido Fólico (µg),Calcio (mg),Hierro (mg),sodio (mg),Azúcar por equivalente (g),indice glicémuco,Carga glicémica
CEREALES SIN GRASA,Alegría natural,5,cucharadita,21,21,74,2.7,1.5,13.5,1.4,0.0,0.5,0.7,0.0,ND,ND,ND
CEREALES SIN GRASA,Alegría tostada,4,cucharadita,16,16,63,2.2,1.3,11.7,1.6,0.0,47.9,0.3,0.0,ND,ND,ND
CEREALES SIN GRASA,Amaranto cocido,2 1/2,taza,330,330,70,7.0,0.5,13.5,0.0,185.0,690.0,7.5,70.0,ND,ND,ND
CEREALES SIN GRASA,Amaranto tostado,1/4,taza,16,16,63,2.2,1.3,11.6,1.6,0.0,47.5,0.3,0.0,ND,ND,ND
CEREALES SIN GRASA,Anillos de trigo azucarados de colores,1/2,taza,16,16,63,1.0,0.6,13.4,0.2,0.0,1.5,2.3,53.5,ND,ND,ND
CEREALES SIN GRASA,Arroz cocido,1/4,taza,47,47,60,1.1,0.1,13.3,0.1,26.0,1.4,0.7,0.0,ND,64.0,29.8
CEREALES SIN GRASA,Arroz crudo,20,g,20,20,72,1.3,0.1,15.9,ND,1.8,1.8,0.2,0.2,ND,ND,ND
CEREALES SIN GRASA,Arroz inflado con cocoa,1/2,taza,17,17,64,0.9,0.2,14.7,0.1,58.2,3.0,1.0,126.2,ND,82.0,ND
CEREALES SIN GRASA,Arroz inflado natural,1/2,taza,17,17,65,1.1,0.1,14.6,0.5,58.2,3.0,1.0,126.2,ND,ND,ND
CEREALES SIN GRASA,Arroz integral cocido,1/3,taza,65,65,73,1.5,0.5,15.3,1.2,2.6,6.7,0.3,0.7,ND,66.0,42.9
CEREALES SIN GRASA,Arroz integral crudo,20,g,20,20,72,0.5,0.5,15.2,0.7,4.0,6.6,0.4,0.8,ND,ND,ND
CEREALES SIN GRASA,Arroz precocido cocido,1/3,taza,52,52,64,1.5,0.2,13.6,0.5,1.6,9.9,0.1,1.0,0.1,48.0,25.0
CEREALES SIN GRASA,Arroz precocido crudo,20,g,20,20,75,1.6,0.2,16.1,0.4,1.6,11.0,0.1,0.6,0.1,ND,ND
CEREALES SIN GRASA,Arroz pulido crudo,20,g,20,20,72,1.3,0.1,15.9,ND,1.8,1.8,0.2,0.2,ND,ND,ND
CEREALES SIN GRASA,Arroz salvaje cocido,1/3,taza,54,54,55,2.1,0.2,11.6,1.0,14.1,1.7,0.3,1.7,0.4,54.0,29.2
CEREALES SIN GRASA,Arroz salvaje crudo,20,g,20,20,71,2.9,0.2,15.0,1.2,19.0,4.2,0.4,1.4,0.5,ND,ND
CEREALES SIN GRASA,Atole en polvo,7,cucharadita,18,18,68,0.0,0.0,16.4,0.0,0.0,0.0,0.0,0.0,ND,74.0,13.5
CEREALES SIN GRASA,Atole en sobre,1/3,sobre,16,16,58,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,ND,51.0,7.9
CEREALES SIN GRASA,Atole vitaminado,1/3,sobre,16,16,59,0.0,0.0,14.1,0.0,0.0,0.0,0.0,0.0,ND,51.0,8.0
CEREALES SIN GRASA,Avena cocida,3/4,taza,164,164,66,5.2,1.3,18.8,4.3,10.5,16.4,1.4,1.5,ND,50.0,82.1
CEREALES SIN GRASA,Avena con canela y especias,1/3,sobre,15,15,56,1.3,0.7,11.7,1.0,29.0,36.3,1.3,81.2,5.1,65.0,9.9
CEREALES SIN GRASA,Avena con manzana y canela,1/3,sobre,14,14,53,1.2,0.7,10.9,0.9,27.1,33.9,1.2,75.9,4.8,65.0,9.2
