GRUPO,ALIMENTOS,Cantidad sugerida,Unidad,Peso bruto redondeado (g),Peso neto (g),Energia (Kcal),Proteina (g),Lípidos (g),Hidratos de carbono (g),Colesterol (mg),Vitamina A     (µg RE),Calcio (mg),Sodio (mg)
LECHE DESCREMADA,ALF** fresa con lactobacillus casei Shirota,1.5,envase,159,159,96,6.4,0.3,17.1,ND,ND,223.5,81.0
LECHE DESCREMADA,ALF** mango con lactobacillus casei Shirota,1.5,envase,159,159,96,6.4,0.3,16.9,ND,ND,223.5,81.0
LECHE DESCREMADA,ALF** manzana con lactobacillus casei Shirota,1.5,envase,159,159,90,6.4,0.3,15.4,ND,ND,222.0,82.5
LECHE DESCREMADA,Leche Alpura Ligh Extra,1,taza,240,240,103,8.0,2.4,14.0,0.0,144.0,336.0,134.4
LECHE DESCREMADA,Leche de soya,1,taza,240,240,79,6.6,4.6,4.3,0.0,7.0,10.0,29.0
LECHE DESCREMADA,Leche descremada,1,taza,245,245,86,8.4,0.4,11.9,4.0,149.0,302.0,126.0
LECHE DESCREMADA,Leche descremada con chocolate,1,taza,240,240,77,5.8,1.0,12.5,0.0,0.0,297.6,115.2
LECHE DESCREMADA,Leche descremada en polvo,4,cucharada,30,30,109,10.8,0.2,15.6,6.0,2.0,377.0,161.0
LECHE DESCREMADA,Leche descremada en polvo! recucida en Ca,4,cucharada,30,30,107,10.8,0.1,15.8,1.1,1.1,84.6,262.1
LECHE DESCREMADA,Leche en polvo descremada,4,cucharada,30,30,109,10.8,0.2,15.6,6.0,2.0,377.0,161.0
LECHE DESCREMADA,Leche evaporada descremada,1/2,taza,120,120,94,9.0,0.4,13.5,3.8,138.8,348.8,138.8
LECHE DESCREMADA,Leche evaporada semidescremada,1/2,taza,120,120,94,7.5,1.9,11.3,18.8,0.0,300.0,131.3
LECHE DESCREMADA,Leche Lala Extracalcio Light,1,taza,240,240,113,9.1,2.4,13.7,ND,ND,364.8,144.0
LECHE DESCREMADA,Leche Lala Light,1,taza,240,240,96,7.5,2.4,11.1,ND,ND,247.7,120.0
LECHE DESCREMADA,Leche Lala Siluette Plus,1,taza,240,240,83,7.5,0.5,13.6,ND,ND,269.8,149.8
LECHE DESCREMADA,Leche Lala Vive con fibra,1,taza,240,240,91,7.5,1.2,15.0,ND,ND,247.7,120.0
LECHE DESCREMADA,Leche Lala Vive Deslactosada ligth,1,taza,240,240,85,7.5,1.2,11.1,ND,ND,247.0,120.0
LECHE DESCREMADA,Leche light Extra,1,taza,240,240,103,8.0,2.4,14.0,0.0,144.0,336.0,134.4
LECHE DESCREMADA,Natilla Lala Siluette Plus,1,pieza,125,125,88,6.3,0.5,14.6,0.0,0.0,206.3,137.5
LECHE DESCREMADA,PLF* sin azúcar con Lactobacillus casie Chirota,2,envase,160,160,60,2.0,0.1,16.8,ND,ND,74.0,26.0
LECHE DESCREMADA,Vitalinez bebible,1,pieza,250,250,75,6.7,0.0,11.5,0.0,0.0,205.5,0.0
LECHE DESCREMADA,Vitalinea sólido,1,pieza,150,150,66,6.3,0.0,9.9,0.0,0.0,165.8,0.0
LECHE DESCREMADA,Yoghur bajo en grasa,1/3,taza,75,75,83,2.7,0.8,16.0,5.0,0.0,99.0,36.6
LECHE DESCREMADA,Yoghur Lala Light batido,1 1/2,pieza,188,188,90,7.3,0.4,14.4,ND,ND,240.0,178.5
LECHE DESCREMADA,Yoghur Lala Light bebible,1,pieza,250,250,85,7.3,0.5,13.0,ND,ND,255.0,100.0
LECHE DESCREMADA,Yoghur Lala Siluette Plus de fruta,1,pieza,250,250,85,7.3,0.5,13.0,0.0,0.0,255.0,100.0
LECHE DESCREMADA,Yoghur Lala Vive con fribra 0%,1,pieza,250,250,90,6.5,0.5,16.0,0.0,0.0,200.0,100.0
LECHE DESCREMADA,Yoghur light,3/4,taza,180,180,95,6.4,0.0,15.9,5.3,0.0,158.8,100.6
LECHE DESCREMADA,Yoghur light de fruta,3/4,taza,180,180,95,5.3,0.0,16.9,5.3,0.0,211.8,79.4
LECHE DESCREMADA,Yoghur para beber con fruta BAJA EN CALORIAS,1,pieza,250,250,80,5.5,0.0,14.0,0.0,0.0,200.0,82.5
,,,,,,,,,,,,,
,* PLF producto Lácteo Fermentado,,,,,,,,,,,,
,** ALF Alimento Lácteo Fermentado,,,,,,,,,,,,
