GRUPO,ALIMENTOS,Cantidad sugerida,Unidad,Peso bruto redondeado (g),Peso neto (g),Energia (Kcal),Proteina (g),Lípidos (g),Hidratos de carbono (g),Colesterol (mg),Vitamina A     (µg RE),Calcio (mg),Sodio (mg)
LECHE SEMIDESCREMADA,ALF** natural con Lactobacillus casei Shirota,1.5,envase ,157.5,157.5,108,5.7,3.4,13.5,ND,ND,195.0,72.0
LECHE SEMIDESCREMADA,Leche evaporada semidescremada,1/2,taza,130,160,101,8.1,2.0,12.2,20.3,0.0,324.0,141.8
LECHE SEMIDESCREMADA,Leche fácil digestión,1,taza,240,240,109,7.5,3.9,11.2,0.0,114.0,248.0,120.0
LECHE SEMIDESCREMADA,Leche Lactium MX,1,taza,240,240,109,7.2,4.0,11.0,21.0,330.0,264.0,100.0
LECHE SEMIDESCREMADA,Leche Lala Extracalcio Deslactosada,1,taza,218,218,114,8.3,3.5,12.5,0.0,0.0,332.0,131.0
LECHE SEMIDESCREMADA,Leche Lala Extracalcio Semidescremada,1,taza,218,218,114,8.3,3.5,12.5,0.0,0.0,332.0,131.0
LECHE SEMIDESCREMADA,Leche Lala Semidescremada,1,taza,240,240,109,7.5,3.8,11.1,0.0,0.0,247.7,120.0
LECHE SEMIDESCREMADA,Leche Lala Vive Deslactosada semidescremada,1,taza,240,240,109,7.5,3.8,11.1,0.0,0.0,247.7,120.0
LECHE SEMIDESCREMADA,Leche Lala Vive sin colesterol con omega 3,1,taza,228,228,115,8.3,3.6,12.3,0.0,0.0,301.0,166.9
LECHE SEMIDESCREMADA,Leche semidescremada,1,taza,233,233,116,7.7,4.4,11.2,18.6,0.0,284.0,116.4
LECHE SEMIDESCREMADA,Leche semidescremada 1%,1,taza,244,244,102,8.0,2.6,11.7,10.0,114.0,300.0,123.0
LECHE SEMIDESCREMADA,Leche semidescremada 2%,1,taza,234,234,116,7.8,4.5,11.2,17.3,133.4,285.1,117.1
LECHE SEMIDESCREMADA,Licuado de leche Lala Siluette Plus,1,pieza,250,250,113,7.5,0.5,16.3,ND,ND,ND,40.5
,,,,,,,,,,,,,
,** ALF Alimento Lácteo Fermentado,,,,,,,,,,,,
