GRUPO,ALIMENTOS,Cantidad sugerida,Unidad,Peso bruto redondeado (g),Peso neto (g),Energia (Kcal),Proteina (g),Lípidos (g),Hidratos de carbono (g),Fibra (g),Hierro NO HEM (mg),Selenio (µg),Sodio (mg),Fósforo (mg),Potasio (mg),Azúcar por equivalente (g),indice glicémuco,Carga glicémica
LEGUMINOSAS,Alubia cocida (chica o grande),1/2,taza,90,90,124,8.7,0.3,22.5,5.6,3.3,1.2,5.4,101.1,502.1,0.3,28.0,6.3
LEGUMINOSAS,Alubia cruda (chica o grande),35,g,35,35,117,8.1,0.3,21.1,5.3,3.7,4.5,5.6,105.4,628.3,0.7,ND,ND
LEGUMINOSAS,Alubia enlatada guisada,1/3,taza,86,86,99,6.3,0.3,18.3,4.2,2.6,1.4,299.9,78.7,392.5,0.3,52.0,9.5
LEGUMINOSAS,Alubia germinada,1,taza,190,190,63,9.1,1.1,8.9,ND,1.7,1.1,13.3,72.2,368.6,ND,ND,ND
LEGUMINOSAS,Alverjón o chicharo  seco crudo,35,g,35,35,119,8.6,0.4,21.1,ND,1.6,0.6,5.3,128.1,343.4,2.8,ND,ND
LEGUMINOSAS,Alverjón o chicharo  seco cocido,1/2,taza,98,98,116,8.2,0.4,20.7,ND,1.3,0.6,2.0,97.0,354.8,2.8,22.0,4.5
LEGUMINOSAS,Chicharo germinado cocido,1/2,taza,103,103,100,7.2,0.5,17.5,ND,1.7,0.6,3.1,24.6,274.7,ND,ND,ND
LEGUMINOSAS,Frijol germinado cocido,1,taza,124,124,97,8.8,1.0,18.6,10.7,2.6,0.7,17.4,127.7,393.1,ND,ND,ND
LEGUMINOSAS,Frijol germinado crudo,1 1/2,taza,156,156,105,9.6,1.1,20.4,ND,3.0,0.9,20.3,156.0,478.9,ND,ND,ND
LEGUMINOSAS,Frijol molido,1/3,taza,73,73,96,6.4,0.4,17.2,6.3,1.5,0.9,0.8,101.6,257.7,0.2,ND,ND
LEGUMINOSAS,Frijol promedio cocido,1/2,taza,86,86,114,7.6,0.5,20.4,7.5,1.8,1.0,1.0,120.4,305.3,0.3,43.0,8.8
LEGUMINOSAS,Frijol promedio crudo,35,g,35,35,119,7.6,0.5,21.8,5.3,1.8,1.1,1.8,123.2,519.1,0.7,ND,ND
